mice	CellArea_micron2	greenMean	redMean	RGratio	nMitoLysosomes	nML_per_um2	nML_over_green	MLtotalArea_micron2	MLpctArea	MLmeanArea_micron2	MLarea_micron2_over_green	X_tl	Y_tl	ratioThresh	redThresh	smoothRad	zt24	zt48	day
216	17501.879999999997	7696.5145	1499.2645	0.192	118.5	0.006500000000000001	0.014	4.992	0.0285	0.041999999999999996	5.989e-4	0	0	1	2721.1095	1	2	2	1
218	18163.024	10741.6885	2119.2915000000003	0.1965	127	0.006999999999999999	0.0125	5.9879999999999995	0.033	0.0525	6.832e-4	0	0	1	3487.5535	1	6	6	1
220	16846.727	8790.365	1509.309	0.172	49	0.003	0.0055	1.258	0.0075	0.0295	1.4314999999999998e-4	0	0	1	2610.973	1	10	10	1
222	17037.377	6218.2575	1174.0315	0.182	159.5	0.0095	0.027	3.4299999999999997	0.02	0.0205	5.6875e-4	0	0	1	1972.5945	1	2	26	2
224	17747.1895	10756.107	1972.5325	0.1885	103.5	0.006500000000000001	0.009999999999999998	8.964500000000001	0.05	0.077	7.723e-4	0	0	1	3462.1665000000003	1	6	30	2
226	17545.331	7105.447	1235.6405	0.1735	116	0.006500000000000001	0.016	2.947	0.0165	0.025500000000000002	4.263e-4	0	0	1	2194.6054999999997	1	14	14	1
228	17367.708	7802.4439999999995	1397.9915	0.178	145	0.0085	0.0175	4.545999999999999	0.027	0.038	6.820999999999999e-4	0	0	1	2442.199	1	18	18	1
230	17952.281	9679.676	1521.9745	0.159	77.5	0.0045000000000000005	0.0085	3.1384999999999996	0.0175	0.043	3.3555e-4	0	0	1	2590.469	1	22	22	1
232	17895.28	5752.124	1069.304	0.182	206.5	0.0115	0.035	3.776	0.0215	0.0175	6.1525e-4	0	0	1	1817.405	1	14	38	2
234	18211.812	8086.8495	1677.828	0.201	174	0.0095	0.0205	8.618	0.0475	0.043	0.001	0	0	1	2855.5235000000002	1	18	42	2
236	17424.307999999997	8346.3295	1295.5655000000002	0.158	56.5	0.003	0.007	0.9815	0.0055	0.019	1.1735e-4	0	0	1	2142.2205	1	10	34	2
238	17607.672	7011.0875	1159.16	0.16949999999999998	154.5	0.0095	0.023	3.1660000000000004	0.018	0.023	4.797e-4	0	0	1	1983.1105	1	2	2	1
239	18173.219	8016.612499999999	2035.3029999999999	0.247	348.5	0.0195	0.0435	17.9915	0.099	0.06	0.0025	0	0	1	3689.5465	1	14	14	1
240	17917.379	5897.7865	945.6610000000001	0.1645	242	0.0135	0.042499999999999996	5.191	0.0295	0.0175	8.401999999999999e-4	0	0	1	1560.1195	1	6	6	1
