"216"	"218"	"220"	"222"	"224"	"226"	"228"	"230"	"232"	"234"	"236"	"238"	"239"	"240"	"241"	"242"	"243"	"244"	"245"	"246"	"247"	"248"	"249"	"250"	"251"	"252"	"253"	"254"	"255"	"256"	"257"	"258"	"259"	"260"	"261"	"262"	"263"	"264"	"266"	"267"	"268"	"269"	"270"	"271"	"272"	"273"	"274"	"275"	"276"	"277"	"278"	"279"	"280"	"282"	"283"	"285"	"286"	"287"	"288"	"289"	"291"	"293"	"295"	"297"	"299"	"301"	"303"	"305"	"307"	"309"	"311"	"313"
"CellArea_micron2"	17501.88	18163.024	16846.727	17037.377	17747.1895	17545.331	17367.708	17952.281	17895.28	18211.812	17424.308	17607.672	18173.219	17917.379	17740.6205	17437.826	18211.812	18122.418	18211.812	17131.827	17535.088	17219.351	18032.302	17983.635	18211.812	17977.461	18120.6745	18134.748	17810.6985	18159.011	18126.6005	18115.531	17754.4975	18211.812	18051.389	17870.576	17414.0455	18027.163	18134.855	18125.203	17963.918	18211.812	17648.731	18211.812	18211.812	18211.812	18099.039	17474.1995	17671.754	17704.4735	18155.7405	18087.24	17957.561	18211.812	18198.588	17743.3655	18096.6075	18182.856	17460.4875	17968.7255	17784.746	18211.812	17731.7085	18197.948	18183.0825	18199.044	18198.4885	18169.323	18211.812	18146.9005	18211.812	18110.3475
"greenMean"	7696.5145	10741.6885	8790.365	6218.2575	10756.107	7105.447	7802.444	9679.676	5752.124	8086.8495	8346.3295	7011.0875	8016.6125	5897.7865	5500.786	7243.651	10460.6865	7892.321	9301.888	7005.441	5921.553	5078.042	10804.892	6482.6575	9329.128	9555.46	7048.579	8939.5405	6028.9635	9291.538	7177.522	10489.247	5056.9235	13298.1815	7269.579	7849.284	8727.557	7205.1405	8619.0495	4902.6715	8434.0015	9623.296	8221.7535	10712.086	10189.3175	10898.764	9665.2825	8028.892	8830.7395	9584.6565	8603.2395	10839.5	6523.482	9608.0155	13338.674	9259.177	5507.039	9640.5905	8086.204	8857.307	7421.5965	9927.116	9125.4835	7689.7855	9501.257	8937.412	8336.1295	7616.0235	9757.5825	10009.6235	11839.5955	8818.1945
"redMean"	1499.2645	2119.2915	1509.309	1174.0315	1972.5325	1235.6405	1397.9915	1521.9745	1069.304	1677.828	1295.5655	1159.16	2035.303	945.661	1190.2945	1275.453	3281.208	1381.015	3052.8395	1171.599	1303.439	990.306	2376.8595	1195.4975	2614.591	1897.191	2418.5455	1709.1285	1466.3335	1854.855	2031.8155	1998.401	1072.394	2727.082	2022.0005	1474.976	1729.5565	1384.6775	1588.614	1153.7625	1677.0685	2221.1185	1698.441	3683.0025	2891.356	2384.617	2004.3635	1891.953	1781.314	2193.54	1976.4275	2489.7255	1781.9525	2019.071	3111.857	1985.457	1639.4045	1926.1675	1666.0525	1974.8465	1617.798	3022.7165	1840.8625	1705.6075	1869.2465	1904.8355	2123.92	1614.276	2265.5845	2049.587	2375.496	1812.8345
"RGratio"	0.192	0.1965	0.172	0.182	0.1885	0.1735	0.178	0.159	0.182	0.201	0.158	0.1695	0.247	0.1645	0.215	0.1775	0.331	0.18	0.3195	0.167	0.221	0.189	0.23	0.184	0.2785	0.2	0.3315	0.192	0.233	0.205	0.281	0.1925	0.2125	0.216	0.2745	0.1865	0.198	0.1915	0.182	0.226	0.215	0.231	0.2055	0.3385	0.2815	0.2225	0.2045	0.242	0.196	0.2365	0.222	0.204	0.297	0.208	0.2265	0.22	0.2925	0.203	0.2	0.2165	0.234	0.3145	0.1975	0.214	0.217	0.205	0.2415	0.21	0.232	0.2005	0.2065	0.2005
"nMitoLysosomes"	118.5	127	49	159.5	103.5	116	145	77.5	206.5	174	56.5	154.5	348.5	242	450.5	81.5	491	109	516	108	566.5	409	340.5	181.5	316.5	57.5	711.5	91	408	90.5	530	55	421.5	95.5	507.5	87	167.5	127	83.5	762	155	287.5	59.5	461.5	250	196	99	303.5	71.5	172	170	179.5	384	145.5	176.5	230.5	784.5	221	103	140	334	450	149.5	214	148	169.5	272	267.5	316.5	104.5	171	208
"nML_per_um2"	0.0065	0.007	0.003	0.0095	0.0065	0.0065	0.0085	0.0045	0.0115	0.0095	0.003	0.0095	0.0195	0.0135	0.025	0.0045	0.027	0.0065	0.028	0.006	0.032	0.0245	0.019	0.01	0.018	0.003	0.0395	0.005	0.023	0.005	0.0295	0.003	0.024	0.0055	0.0285	0.005	0.0095	0.007	0.005	0.042	0.0085	0.016	0.003	0.0255	0.0135	0.0115	0.0055	0.017	0.004	0.0095	0.0095	0.01	0.021	0.008	0.0095	0.013	0.0445	0.0125	0.006	0.008	0.019	0.0245	0.0085	0.0115	0.0085	0.0095	0.015	0.0145	0.0175	0.006	0.009	0.0115
"nML_over_green"	0.014	0.0125	0.0055	0.027	0.01	0.016	0.0175	0.0085	0.035	0.0205	0.007	0.023	0.0435	0.0425	0.082	0.011	0.047	0.0135	0.052	0.0145	0.093	0.079	0.03	0.026	0.0335	0.006	0.1025	0.0095	0.0685	0.0095	0.073	0.0055	0.0835	0.0065	0.079	0.011	0.0185	0.018	0.0095	0.1625	0.0175	0.0305	0.007	0.042	0.0255	0.0185	0.009	0.038	0.008	0.017	0.02	0.016	0.059	0.0135	0.0125	0.024	0.1445	0.023	0.0135	0.0165	0.0445	0.048	0.0155	0.028	0.0155	0.018	0.0325	0.033	0.034	0.0105	0.013	0.024
"MLtotalArea_micron2"	4.992	5.988	1.258	3.43	8.9645	2.947	4.546	3.1385	3.776	8.618	0.9815	3.166	17.9915	5.191	11.747	3.278	45.7095	4.8025	47.784	3.059	20.958	7.211	31.6065	4.8225	22.739	2.0975	48.0285	2.8445	13.4775	3.37	22.861	1.7285	12.8105	5.6915	44.113	2.76	9.5525	2.491	2.7175	22.8285	7.114	18.5715	2.2295	38.0505	22.7365	17.4535	5.46	20.786	1.9875	10.8025	10.7055	12.4645	21.623	5.226	11.1985	15.169	28.032	14.407	1.771	9.968	15.376	39.475	7.712	7.1065	7.004	8.8575	12.1255	15.2765	22.694	4.8625	13.416	11.9235
"MLpctArea"	0.0285	0.033	0.0075	0.02	0.05	0.0165	0.027	0.0175	0.0215	0.0475	0.0055	0.018	0.099	0.0295	0.0655	0.019	0.251	0.0265	0.2625	0.0175	0.12	0.0415	0.1775	0.0265	0.125	0.0115	0.2675	0.0155	0.076	0.0185	0.126	0.0095	0.0725	0.0315	0.2465	0.0155	0.0545	0.014	0.015	0.126	0.0395	0.102	0.0125	0.209	0.125	0.0965	0.0305	0.119	0.0115	0.06	0.059	0.069	0.122	0.0285	0.0615	0.085	0.158	0.08	0.01	0.0565	0.0855	0.2165	0.044	0.039	0.039	0.049	0.067	0.0845	0.1245	0.027	0.0735	0.0665
"MLmeanArea_micron2"	0.042	0.0525	0.0295	0.0205	0.077	0.0255	0.038	0.043	0.0175	0.043	0.019	0.023	0.06	0.0175	0.0235	0.0355	0.0915	0.0345	0.092	0.0195	0.0385	0.014	0.088	0.025	0.071	0.03	0.0675	0.0275	0.0325	0.043	0.045	0.033	0.024	0.0595	0.0745	0.033	0.05	0.0225	0.0385	0.0285	0.039	0.0585	0.0305	0.0795	0.0735	0.0805	0.0505	0.0695	0.029	0.056	0.0615	0.084	0.049	0.054	0.062	0.0655	0.0355	0.0655	0.0175	0.0545	0.0525	0.093	0.0515	0.0425	0.041	0.0475	0.044	0.0485	0.07	0.0475	0.085	0.054
"MLarea_micron2_over_green"	0.0005989	0.0006832	0.00014315	0.00056875	0.0007723	0.0004263	0.0006821	0.00033555	0.00061525	0.001	0.00011735	0.0004797	0.0025	0.0008402	0.002	0.0004179	0.0045	0.00064545	0.005	0.0004214	0.0035	0.001	0.003	0.0007633	0.0025	0.00019555	0.0075	0.0002933	0.002	0.000326	0.0035	0.0001721	0.0025	0.000405	0.006	0.00034765	0.0009618	0.0003602	0.00031845	0.004	0.0008829	0.002	0.0002491	0.0035	0.00243185	0.001	0.00051995	0.003	0.0002211	0.0014252	0.0009525	0.001	0.003	0.000572	0.00092605	0.002	0.0055	0.0015	0.00023055	0.00099885	0.002	0.0045	0.00080395	0.00081	0.00072395	0.00090225	0.001	0.002	0.0025	0.00049845	0.000904	0.001
