mice	zt24	zt48	sex	day	filename_phospho	filename_total	sample_id
216	2	2	Female	1	20230706_TIMS6_EVO4_PRI_X943_P0208_R0871_44min_DIApho_S01_S2-A1_1_4680	[1] 20231005_TIMS6_EVO4_PRI_X1164_P0208_R0872_44min_DIA-PASEF_S01_S2-B1_1_5587.htrms.PG.Quantity	S01
238	2	2	Female	1	20230706_TIMS6_EVO4_PRI_X943_P0208_R0871_44min_DIApho_S02_S2-A2_1_4681	[2] 20231005_TIMS6_EVO4_PRI_X1164_P0208_R0872_44min_DIA-PASEF_S02_S2-B2_1_5588.htrms.PG.Quantity	S02
272	2	2	Female	1	20230706_TIMS6_EVO4_PRI_X943_P0208_R0871_44min_DIApho_S03_S2-A3_1_4682	[3] 20231005_TIMS6_EVO4_PRI_X1164_P0208_R0872_44min_DIA-PASEF_S03_S2-B3_1_5589.htrms.PG.Quantity	S03
218	6	6	Female	1	20230706_TIMS6_EVO4_PRI_X943_P0208_R0871_44min_DIApho_S04_S2-A4_1_4683	[4] 20231005_TIMS6_EVO4_PRI_X1164_P0208_R0872_44min_DIA-PASEF_S04_S2-B4_1_5590.htrms.PG.Quantity	S04
240	6	6	Female	1	20230706_TIMS6_EVO4_PRI_X943_P0208_R0871_44min_DIApho_S05_S2-A5_1_4684	[5] 20231005_TIMS6_EVO4_PRI_X1164_P0208_R0872_44min_DIA-PASEF_S05_S2-B5_1_5591.htrms.PG.Quantity	S05
274	6	6	Female	1	20230706_TIMS6_EVO4_PRI_X943_P0208_R0871_44min_DIApho_S06_S2-A6_1_4685	[6] 20231005_TIMS6_EVO4_PRI_X1164_P0208_R0872_44min_DIA-PASEF_S06_S2-B6_1_5592.htrms.PG.Quantity	S06
220	10	10	Female	1	20230706_TIMS6_EVO4_PRI_X943_P0208_R0871_44min_DIApho_S07_S2-A7_1_4686	[7] 20231005_TIMS6_EVO4_PRI_X1164_P0208_R0872_44min_DIA-PASEF_S07_S2-B7_1_5593.htrms.PG.Quantity	S07
242	10	10	Female	1	20230706_TIMS6_EVO4_PRI_X943_P0208_R0871_44min_DIApho_S08_S2-A8_1_4687	[8] 20231005_TIMS6_EVO4_PRI_X1164_P0208_R0872_44min_DIA-PASEF_S08_S2-B8_1_5594.htrms.PG.Quantity	S08
276	10	10	Female	1	20230706_TIMS6_EVO4_PRI_X943_P0208_R0871_44min_DIApho_S09_S2-A9_1_4688	[9] 20231005_TIMS6_EVO4_PRI_X1164_P0208_R0872_44min_DIA-PASEF_S09_S2-B9_1_5595.htrms.PG.Quantity	S09
222	2	26	Female	2	20230706_TIMS6_EVO4_PRI_X943_P0208_R0871_44min_DIApho_S10_S2-A10_1_4689	[10] 20231005_TIMS6_EVO4_PRI_X1164_P0208_R0872_44min_DIA-PASEF_S10_S2-B10_1_5596.htrms.PG.Quantity	S10
